word,meaning,level,frequency,category,example_sentence
aside,脇に・別として,standard,medium,adverb,"Put your phone aside and listen."
ask,尋ねる・頼む,basic,high,verb,"Can I ask you a question?"
aspect,側面・様相,standard,medium,noun,"Consider every aspect of the problem."
assault,暴行・攻撃,advanced,low,noun,"He was charged with assault."
assemble,集める・組み立てる,standard,medium,verb,"Assemble the furniture carefully."
assembly,集会・組み立て,standard,medium,noun,"The school assembly starts at 9 AM."
assess,評価する,standard,medium,verb,"Teachers assess student performance."
asset,資産・財産,standard,medium,noun,"Real estate is a valuable asset."
assign,割り当てる,standard,medium,verb,"The teacher assigned homework."
assist,援助する,standard,medium,verb,"Can you assist me with this task?"
assistant,助手・補佐,basic,high,noun,"She works as a teaching assistant."
associate,関連付ける・仲間,standard,medium,verb,"I associate summer with vacation."
association,協会・関連,standard,medium,noun,"He joined the medical association."
assume,仮定する・引き受ける,standard,medium,verb,"Don't assume anything without proof."
assure,保証する・安心させる,standard,medium,verb,"I assure you it's safe."
astonish,驚かせる,advanced,low,verb,"The news astonished everyone."
athlete,運動選手,basic,high,noun,"Olympic athletes train very hard."
atmosphere,大気・雰囲気,standard,medium,noun,"The restaurant has a nice atmosphere."
atom,原子,standard,medium,noun,"Water molecules contain oxygen atoms."
attach,取り付ける,standard,medium,verb,"Attach the file to your email."
attack,攻撃する,basic,high,verb,"The army attacked at dawn."
attempt,試みる・企て,basic,high,verb,"She attempted to climb the mountain."
attend,出席する・世話をする,basic,high,verb,"Please attend the meeting."
attention,注意・関心,basic,high,noun,"Pay attention to the instructions."
attitude,態度・姿勢,standard,medium,noun,"He has a positive attitude."
attorney,弁護士,standard,medium,noun,"She hired an attorney for the case."
attract,引きつける,basic,high,verb,"Flowers attract bees."
attractive,魅力的な,basic,high,adjective,"She's a very attractive woman."
attribute,属性・〜のせいにする,advanced,low,noun,"Patience is an important attribute."
auction,競売,standard,medium,noun,"The painting sold at auction."
audience,聴衆・観客,basic,high,noun,"The audience applauded the performance."
audio,音声の,standard,medium,adjective,"The audio quality is excellent."
audit,監査・監査する,advanced,low,noun,"The company underwent a financial audit."
author,著者,basic,high,noun,"Who's the author of this book?"
authority,権威・当局,standard,medium,noun,"The police have authority to arrest."
authorize,認可する,advanced,low,verb,"Only managers can authorize expenses."
automatic,自動の,standard,medium,adjective,"The door has automatic sensors."
automobile,自動車,standard,medium,noun,"The automobile industry is changing."
autumn,秋,basic,high,noun,"Leaves change color in autumn."
available,利用できる,basic,high,adjective,"Is this seat available?"
avenue,大通り・手段,standard,medium,noun,"The shop is on Fifth Avenue."
average,平均・平均的な,basic,high,noun,"The average temperature is 20°C."
avoid,避ける,basic,high,verb,"Avoid eating too much sugar."
award,賞・授与する,basic,high,noun,"She won an award for her research."
aware,気づいている,basic,high,adjective,"Are you aware of the problem?"
away,離れて,basic,high,adverb,"The school is two miles away."
awesome,すばらしい,basic,high,adjective,"The concert was awesome!"
awful,ひどい,basic,high,adjective,"The weather was awful yesterday."
